D,L,P,G,Tin,X,CHF
0.0048,0.716,100,203.9,23.94,0.77,694
0.0048,0.716,100,271.8,23.94,0.71,883
0.0048,0.716,100,407.7,23.94,0.63,1167
0.0048,0.716,100,557.2,23.94,0.6,1545
0.0048,0.716,100,665.9,23.94,0.59,1829
0.0048,0.716,100,951.4,23.94,0.55,2492
0.0048,0.716,100,937.8,23.94,0.55,2429
0.0048,0.955,100,203.9,23.94,0.93,631
0.0048,0.955,100,271.8,23.94,0.75,694
0.0048,0.955,100,407.7,23.94,0.68,946
0.0048,0.955,100,543.6,23.94,0.63,1199
0.0048,0.955,100,679.5,23.94,0.64,1482
0.0048,0.955,100,951.4,23.94,0.55,1861
0.0048,0.955,100,1100.9,23.94,0.49,1987
0.00394,3.12,3589,815,56.31,0.952,638
0.00394,3.12,3374,830,56.11,0.931,640
0.00394,3.12,3226,830,56.83,0.935,641
0.00394,3.12,2687,844,55.34,0.926,648
0.00394,3.12,2687,852,56.06,0.915,648
0.00394,3.12,2462,861,56.39,0.907,650
0.00394,3.12,2246,896,58.99,0.859,647
0.00394,3.12,2030,918,59.06,0.837,649
0.00394,3.12,1853,956,61.51,0.801,651
0.00394,3.12,1677,986,61.95,0.773,652
0.00394,3.12,1451,1025,62.18,0.741,654
0.00394,3.12,1304,1081,63.34,0.696,655
0.00394,3.12,1255,1092,64.34,0.688,654
0.00394,3.12,1079,1182,68.88,0.633,655
0.00394,3.12,922,1271,64.82,0.574,657
0.00394,3.12,794,1320,66.13,0.555,658
0.00394,3.12,3687,824,58.81,0.934,634
0.00394,3.12,3119,842,59.48,0.922,641
0.00394,3.12,2687,846,57.74,0.922,645
0.00394,3.12,2412,866,57.82,0.9,648
0.00394,3.12,2246,877,58.75,0.889,649
0.00394,3.12,1961,914,57.4,0.846,653
0.00394,3.12,1775,955,58.97,0.803,654
0.00394,3.12,1599,980,58.76,0.781,656
0.00394,3.12,1412,1020,59.62,0.75,659
0.00394,3.12,951,1177,60.95,0.634,661
0.00394,3.12,873,1232,60.95,0.6,662
0.00394,3.12,2027,526,60.42,0.982,416
0.00394,3.12,1482,525,60.14,0.998,420
0.00394,3.12,1393,537,62.05,0.972,419
0.00394,3.12,1245,541,61.57,0.967,420
0.00394,3.12,1108,553,58.89,0.94,421
0.00394,3.12,853,568,58.74,0.917,422
0.00394,3.12,745,573,60.3,0.914,422
0.00394,3.12,696,573,60.3,0.918,423
0.00394,3.12,588,620,61.27,0.844,425
0.00394,3.12,520,636,60.93,0.823,426
0.00394,3.12,451,676,61.9,0.77,426
0.00394,3.12,451,676,61.9,0.77,426
0.00394,3.12,3472,504,45.51,0.986,411
0.00394,3.12,3275,518,50.84,0.962,412
0.00394,3.12,2922,518,51.35,0.971,414
0.00394,3.12,2481,514,51.09,0.992,417
0.00394,3.12,2236,522,51.79,0.977,418
0.00394,3.12,2138,522,51.66,0.98,419
0.00394,3.12,1922,522,51.76,0.985,420
0.00394,3.12,1540,526,49.89,0.983,423
0.00394,3.12,1393,538,52.01,0.969,426
0.00394,3.12,1098,554,52.01,0.943,428
0.00394,3.12,981,546,53.03,0.966,428
0.00394,3.12,853,571,53,0.918,429
0.00394,3.12,736,592,53.33,0.881,429
0.00394,2.08,3658,900,51.34,0.842,984
0.00394,2.08,3256,915,49.99,0.829,991
0.00394,2.08,2805,942,51,0.806,997
0.00394,2.08,2452,964,49.92,0.796,1010
0.00394,2.08,2216,997,50.57,0.764,1013
0.00394,2.08,2108,1025,51.58,0.739,1015
0.00394,2.08,1991,1040,52.49,0.73,1017
0.00394,2.08,1883,1075,54.96,0.703,1018
0.00394,2.08,1765,1096,55.08,0.688,1020
0.00394,2.08,1667,1147,56.14,0.649,1021
0.00394,2.08,1481,1219,57.95,0.603,1023
0.00394,2.08,1314,1258,57.97,0.588,1031
0.00394,2.08,1157,1324,59.02,0.555,1033
0.00394,2.08,932,1414,27.26,0.423,998
0.00394,2.08,3560,922,60.8,0.85,996
0.00394,2.08,3275,942,59.22,0.827,1001
0.00394,2.08,2854,952,59.24,0.825,1008
0.00394,2.08,2481,1000,59.71,0.779,1014
0.00394,2.08,2138,1054,59.79,0.731,1019
0.00394,2.08,1942,1090,60.46,0.704,1022
0.00394,2.08,1706,1152,60.7,0.657,1025
0.00394,2.08,1510,1213,60.37,0.615,1027
0.00394,2.08,1314,1280,60.61,0.578,1030
0.00394,2.08,1167,1325,61.34,0.558,1032
0.00394,2.08,3432,666,59.61,0.892,744
0.00394,2.08,3187,659,16.04,0.812,748
0.00394,2.08,3040,666,58.11,0.902,751
0.00394,2.08,2569,675,58.17,0.907,762
0.00394,2.08,2089,701,58.02,0.877,771
0.00394,2.08,1873,714,58.02,0.864,775
0.00394,2.08,1863,714,57.49,0.852,768
0.00394,2.08,1530,737,58.65,0.831,773
0.00394,2.08,1363,760,58.82,0.805,776
0.00394,2.08,1255,783,57.41,0.777,779
0.00394,2.08,1059,785,57.98,0.785,782
0.00394,2.08,941,882,58.8,0.678,783
0.00394,2.08,804,943,59.03,0.624,782
0.00394,2.08,657,1001,59.57,0.587,783
0.00394,2.08,569,1036,60.19,0.568,784
0.00394,2.08,3589,663,58.46,0.889,741
0.00394,2.08,3315,663,58.8,0.902,747
0.00394,2.08,2726,678,58.13,0.896,760
0.00394,2.08,1981,701,57.72,0.886,776
0.00394,2.08,1706,719,58.31,0.868,781
0.00394,2.08,1422,748,58.54,0.819,775
0.00394,2.08,1245,782,57.5,0.777,778
0.00394,2.08,1000,848,58.45,0.709,781
0.00394,2.08,873,882,58.09,0.679,783
0.00394,1.04,3658,861,58.52,0.772,1758
0.00394,1.04,3138,871,58.43,0.773,1774
0.00394,1.04,2736,892,62.89,0.766,1783
0.00394,1.04,2422,918,58.78,0.734,1791
0.00394,1.04,2236,929,58.73,0.716,1779
0.00394,1.04,2059,956,57.93,0.69,1784
0.00394,1.04,1912,1042,58.66,0.612,1788
0.00394,1.04,1677,1042,58.6,0.624,1799
0.00394,1.04,1383,1128,58.83,0.568,1808
0.00394,1.04,1324,1128,59.3,0.571,1808
0.00394,1.04,1206,1157,61.23,0.56,1811
0.00394,1.04,3472,861,59.88,0.758,1731
0.00394,1.04,2942,874,59.91,0.754,1744
0.00394,1.04,2579,896,59.84,0.736,1752
0.00394,1.04,2138,939,60.27,0.705,1771
0.00394,1.04,1893,988,60.03,0.662,1778
0.00394,1.04,1677,1021,60.52,0.634,1774
0.00394,1.04,1442,1046,60.43,0.622,1780
0.00394,1.04,1324,1107,61.22,0.58,1783
0.00394,1.04,1265,1127,61.62,0.568,1784
0.00394,1.04,3766,684,43.45,0.836,1510
0.00394,1.04,3413,706,44.16,0.808,1522
0.00394,1.04,3148,713,44.26,0.805,1530
0.00394,1.04,2785,718,43.38,0.809,1544
0.00394,1.04,2462,732,44.41,0.795,1549
0.00394,1.04,2256,755,45.83,0.77,1556
0.00394,1.04,2050,767,46.2,0.761,1564
0.00394,1.04,1824,775,46.3,0.76,1572
0.00394,1.04,1579,805,47.34,0.725,1570
0.00394,1.04,1471,827,47.56,0.703,1574
0.00394,1.04,1294,853,47.41,0.68,1579
0.00394,1.04,1147,913,52.15,0.633,1582
0.00394,1.04,3472,701,53.66,0.816,1494
0.00394,1.04,2971,723,54.29,0.796,1510
0.00394,1.04,2560,732,53.41,0.795,1524
0.00394,1.04,2001,769,54.2,0.762,1543
0.00394,1.04,1736,808,54.2,0.719,1550
0.00394,1.04,1628,824,55.15,0.706,1554
0.00394,1.04,1412,857,55.79,0.677,1560
0.00394,1.04,1118,954,56.92,0.596,1568
0.00776,3.12,3717,626,110.84,0.878,826
0.00776,3.12,3442,645,117.9,0.863,828
0.00776,3.12,3275,659,118.75,0.844,830
0.00776,3.12,3197,668,125.49,0.848,832
0.00776,3.12,3099,677,128.73,0.843,833
0.00776,3.12,2491,749,130.03,0.757,841
0.00776,3.12,2403,765,140.39,0.765,843
0.00776,3.12,2854,710,141.31,0.828,836
0.00776,3.12,2687,679,113.24,0.817,840
0.00776,3.12,1863,854,120.77,0.639,850
0.00777,3.12,1607,965,122.97,0.558,855
0.00777,3.12,1510,1010,126.18,0.539,858
0.00777,3.12,1462,1040,126.69,0.522,858
0.00777,3.12,1400,1083,127.37,0.494,852
0.00777,3.12,1317,1146,128.87,0.468,855
0.00777,3.12,1255,1199,128.67,0.444,855
0.00777,3.12,1227,1231,129.25,0.431,855
0.00777,3.12,1131,1296,129.66,0.412,858
0.00777,3.12,1089,1337,129.56,0.4,861
0.00777,3.12,1048,1380,128.51,0.384,861
0.00777,3.12,1027,1408,128.3,0.375,861
0.00777,3.12,1014,1416,127.25,0.371,861
0.00776,3.12,3266,385,101.04,0.97,556
0.00776,3.12,2981,389,101.27,0.962,558
0.00776,3.12,2756,391,102.43,0.963,560
0.00776,3.12,2363,404,105.75,0.939,563
0.00776,3.12,2236,406,108.3,0.944,565
0.00776,3.12,2059,412,113.66,0.942,566
0.00776,3.12,1883,416,114.49,0.94,569
0.00776,3.12,1775,433,116.32,0.902,570
0.00776,3.12,1746,429,117.11,0.916,571
0.00776,3.12,1530,450,121.19,0.871,568
0.00776,3.12,1363,465,121.35,0.846,571
0.00776,3.12,1187,503,123.21,0.783,573
0.00776,3.12,1118,531,123.95,0.736,572
0.00776,3.12,1069,554,124.95,0.707,574
0.00776,3.12,1040,579,125.81,0.673,573
0.00776,3.12,1000,596,126.86,0.654,573
0.00776,3.12,902,654,122.99,0.586,575
0.00776,3.12,785,744,127.58,0.521,577
0.00776,3.12,2775,433,161.71,0.961,551
0.00776,3.12,2432,448,168.65,0.948,554
0.00776,3.12,2295,456,170.25,0.935,555
0.00776,3.12,2226,454,172.25,0.946,556
0.00776,3.12,2040,473,173.51,0.913,558
0.00776,3.12,1932,475,170.88,0.905,559
0.00776,3.12,1814,482,171.05,0.896,561
0.00776,3.12,1677,501,169.81,0.862,563
0.00776,3.12,1520,527,169.75,0.807,556
0.00776,3.12,3511,241,125.78,0.976,334
0.00776,3.12,3217,245,124.46,0.96,336
0.00776,3.12,2805,247,124.78,0.959,338
0.00776,3.12,2579,249,120.04,0.946,340
0.00776,3.12,2471,254,122.97,0.93,340
0.00776,3.12,2010,249,122.96,0.966,343
0.00776,3.12,1510,256,128.3,0.968,348
0.00776,3.12,1353,260,131.81,0.966,350
0.00776,3.12,1226,266,130.62,0.947,352
0.00776,3.12,1089,266,132.84,0.96,354
0.00776,3.12,981,268,132.81,0.961,356
0.00776,3.12,892,281,136.12,0.927,358
0.00776,3.12,794,283,135.57,0.926,360
0.00776,3.12,657,290,123.96,0.892,363
0.00776,3.12,647,292,123.81,0.885,363
0.00776,3.12,559,300,121.98,0.868,366
0.00776,3.12,510,315,120.77,0.814,362
0.00776,3.12,461,323,117.17,0.79,363
0.00776,3.12,422,336,115.05,0.758,364
0.00776,3.12,392,349,108.8,0.72,365
0.00776,3.12,363,351,108.15,0.717,365
0.00776,3.12,363,362,108.63,0.696,366
0.00776,2.08,3844,592,112.36,0.849,1141
0.00776,2.08,3442,611,111.75,0.819,1147
0.00776,2.08,2873,626,112.77,0.81,1158
0.00776,2.08,2442,649,112.85,0.787,1169
0.00776,2.08,1853,725,98.7,0.671,1185
0.00776,2.08,2040,687,114.33,0.748,1179
0.00776,2.08,2216,660,114.42,0.781,1175
0.00776,2.08,1363,878,120.88,0.585,1199
0.00776,2.08,1187,969,122.98,0.531,1205
0.00776,2.08,1363,878,122.06,0.588,1199
0.00776,2.08,1618,808,122.61,0.64,1192
0.00776,2.08,1500,842,122.55,0.613,1194
0.00776,2.08,1285,926,124.39,0.559,1202
0.00776,2.08,1108,1029,126.59,0.505,1208
0.00776,2.08,1098,1047,126.65,0.495,1208
0.00776,2.08,1049,1063,125.73,0.488,1210
0.00776,2.08,1010,1095,126.6,0.474,1212
0.00776,2.08,912,1140,126.76,0.459,1214
0.00776,2.08,902,1162,126.51,0.448,1214
0.00776,2.08,863,1188,126.47,0.438,1213
0.00776,2.08,814,1233,126.77,0.423,1213
0.00776,2.08,785,1248,125.94,0.417,1214
0.00776,2.08,765,1270,125.08,0.409,1215
0.00776,2.08,745,1277,123.97,0.405,1215
0.00776,2.08,4089,588,112.03,0.865,1150
0.00776,2.08,4040,585,111.69,0.872,1151
0.00776,2.08,3638,615,113.69,0.825,1157
0.00776,2.08,3246,603,117.24,0.867,1165
0.00776,2.08,2481,687,126.74,0.769,1180
0.00776,2.08,2638,700,135.48,0.765,1176
0.00776,2.08,3070,632,139.88,0.871,1168
0.00776,2.08,2873,655,141,0.84,1172
0.00776,2.08,2020,757,144.1,0.736,1194
0.00776,2.08,2226,727,147.54,0.766,1180
0.00776,2.08,3776,579,96.93,0.848,1150
0.00776,2.08,3491,603,99.14,0.81,1153
0.00776,2.08,3697,581,98.85,0.851,1151
0.00776,2.08,3197,607,100.64,0.815,1160
0.00776,2.08,2991,600,105.04,0.844,1163
0.00776,2.08,3295,600,106.35,0.838,1157
0.00776,2.08,3491,600,106.74,0.834,1153
0.00776,2.08,3020,619,107.06,0.812,1163
0.00776,2.08,2736,623,112.19,0.826,1169
0.00776,2.08,2658,634,113.78,0.813,1171
0.00776,2.08,2805,628,119.83,0.834,1169
0.00776,2.08,2687,636,120.8,0.825,1170
0.00776,2.08,2550,653,122.44,0.803,1172
0.00776,2.08,2432,653,125.59,0.815,1176
0.00776,2.08,2324,664,126.53,0.804,1178
0.00776,2.08,2069,704,128.54,0.76,1185
0.00776,2.08,1844,761,131.05,0.704,1192
0.00776,2.08,1589,844,133.91,0.636,1199
0.00776,2.08,1648,844,137.87,0.642,1197
0.00776,2.08,1461,909,137.21,0.594,1203
0.00776,2.08,1393,952,138.15,0.568,1206
0.00776,2.08,1285,1000,138.47,0.541,1209
0.00776,2.08,1245,1047,141.64,0.521,1210
0.00776,2.08,1167,1097,141.88,0.498,1214
0.00776,2.08,3423,457,98.82,0.902,943
0.00776,2.08,3589,457,100.7,0.906,943
0.00776,2.08,3933,463,103.46,0.887,937
0.00776,2.08,3256,482,105.12,0.859,948
0.00776,2.08,2864,480,105.7,0.874,953
0.00776,2.08,2569,482,106.33,0.88,959
0.00776,2.08,2667,484,109.96,0.88,957
0.00776,2.08,2167,484,110.33,0.885,956
0.00776,2.08,1687,531,115.32,0.816,967
0.00776,2.08,1373,592,119.83,0.737,975
0.00776,2.08,1294,615,120.49,0.707,976
0.00776,2.08,1236,634,121.59,0.686,976
0.00776,2.08,1079,691,123.49,0.633,983
0.00776,2.08,990,744,125.7,0.589,984
0.00776,2.08,941,761,127.67,0.58,984
0.00776,2.08,804,838,129.54,0.518,966
0.00776,2.08,775,886,129.62,0.488,967
0.00776,2.08,696,1080,127.49,0.387,967
0.00776,2.08,667,1089,119.16,0.37,968
0.00776,2.08,3521,476,97.08,0.877,966
0.00776,2.08,3158,474,98.68,0.895,972
0.00776,2.08,2864,476,99.06,0.902,980
0.00776,2.08,2707,482,98.98,0.892,984
0.00776,2.08,2560,489,99.95,0.886,990
0.00776,2.08,2207,495,100.92,0.883,995
0.00776,2.08,1952,512,101.74,0.855,1000
0.00776,2.08,2393,497,104.57,0.88,991
0.00776,2.08,2530,486,104.24,0.903,990
0.00776,2.08,2354,495,108.61,0.874,974
0.00776,2.08,2138,516,109.34,0.839,980
0.00776,2.08,1952,525,110.51,0.829,983
0.00776,2.08,1834,531,110.72,0.824,987
0.00776,2.08,1697,544,113.03,0.809,990
0.00776,2.08,1608,560,112.85,0.784,992
0.00776,2.08,1520,586,114.72,0.75,996
0.00776,2.08,1373,611,116.76,0.722,998
0.00776,2.08,1314,640,119.58,0.692,1000
0.00776,2.08,1059,751,122.4,0.586,1004
0.00776,2.08,990,782,123.35,0.561,1001
0.00776,2.08,3923,332,94.97,0.921,701
0.00776,2.08,3668,334,94.29,0.923,707
0.00776,2.08,3128,334,94.75,0.94,715
0.00776,2.08,2883,343,95.42,0.919,721
0.00776,2.08,2707,340,94.23,0.933,724
0.00776,2.08,2452,347,96.24,0.919,727
0.00776,2.08,2010,349,97.87,0.936,737
0.00776,2.08,1873,349,98.09,0.941,739
0.00776,2.08,1726,355,99.46,0.93,742
0.00776,2.08,1559,357,100.37,0.933,745
0.00776,2.08,1324,372,102.44,0.871,729
0.00776,2.08,1628,362,105.91,0.897,725
0.00776,2.08,1451,385,127.02,0.883,727
0.00776,2.08,1118,402,109.79,0.818,733
0.00776,2.08,1344,376,108.62,0.874,730
0.00776,2.08,1275,383,111.27,0.863,731
0.00776,2.08,1118,406,110.02,0.809,733
0.00776,2.08,981,431,113.27,0.768,736
0.00776,2.08,912,450,114.04,0.735,737
0.00776,2.08,873,461,115.42,0.72,738
0.00776,2.08,843,482,118.86,0.698,743
0.00776,2.08,834,493,120.28,0.683,743
0.00776,2.08,785,531,124.05,0.637,743
0.00776,2.08,706,554,125.49,0.615,744
0.00776,2.08,2462,355,100.76,0.92,738
0.00776,2.08,2334,355,100.53,0.926,741
0.00776,2.08,2167,357,100.61,0.925,744
0.00776,2.08,1942,361,101.46,0.922,748
0.00776,2.08,1746,366,104.81,0.924,753
0.00776,2.08,1500,370,102.93,0.915,756
0.00776,2.08,1255,395,104.59,0.858,760
0.00776,2.08,1118,406,107.42,0.818,744
0.00776,2.08,1010,423,108.91,0.787,746
0.00776,2.08,2824,279,92.73,0.925,592
0.00776,2.08,2579,277,94.2,0.945,595
0.00776,2.08,2265,277,94.07,0.954,599
0.00776,2.08,1952,277,95.57,0.966,602
0.00776,2.08,1559,279,95.86,0.956,599
0.00776,2.08,1402,281,99.32,0.963,602
0.00776,2.08,1187,290,100.99,0.937,604
0.00776,2.08,1079,288,105.3,0.958,605
0.00776,2.08,892,306,105.49,0.901,607
0.00776,2.08,814,326,114.76,0.852,603
0.00776,2.08,804,321,113.28,0.865,603
0.00776,2.08,745,324,113.83,0.86,604
0.00776,2.08,667,345,115.62,0.81,605
0.00776,2.08,628,361,114.82,0.756,595
0.00776,2.08,520,389,118.69,0.711,596
0.00776,1.04,3678,222,73,0.858,930
0.00776,1.04,3168,220,73.14,0.889,942
0.00776,1.04,2648,220,73.12,0.905,952
0.00776,1.04,2285,220,75.27,0.919,957
0.00776,1.04,2001,233,75.48,0.864,966
0.00776,1.04,1746,239,78.16,0.852,973
0.00776,1.04,1461,241,79.48,0.858,979
0.00776,1.04,1344,247,76.28,0.838,989
0.00776,1.04,1049,256,81.18,0.818,989
0.00776,1.04,824,268,91.34,0.796,984
0.00776,1.04,1040,273,91.97,0.776,989
0.00776,1.04,892,262,92.67,0.826,992
0.00776,1.04,3315,325,85.81,0.855,1324
0.00776,1.04,3148,325,87.06,0.865,1330
0.00776,1.04,2903,325,85.36,0.87,1338
0.00776,1.04,2246,332,88.83,0.875,1358
0.00776,1.04,1844,345,93.45,0.858,1372
0.00776,1.04,1579,360,96.04,0.829,1381
0.00776,1.04,1393,365,94.72,0.82,1387
0.00776,1.04,1294,386,97.76,0.773,1387
0.00776,1.04,1147,391,96.52,0.765,1391
0.00776,1.04,1079,403,98.66,0.744,1392
0.00776,1.04,1059,406,101.83,0.745,1393
0.00993,3.12,3933,274,110.11,0.922,480
0.00993,3.12,3589,277,117.3,0.924,479
0.00993,3.12,3207,274,116.48,0.944,482
0.00993,3.12,2805,279,121.72,0.943,485
0.00993,3.12,2481,280,127.45,0.941,480
0.00993,3.12,2265,280,134.95,0.967,483
0.00993,3.12,1971,282,138.58,0.971,484
0.00993,3.12,1677,283,140.87,0.984,488
0.00993,3.12,1227,256,84.26,0.998,495
0.00993,3.12,862,263,90.21,0.993,498
0.00993,3.12,745,276,91.54,0.939,495
0.00993,3.12,647,282,111.54,0.958,494
0.00993,3.12,588,291,90.6,0.887,495
0.00993,3.12,500,298,84.7,0.866,500
0.00993,3.12,471,296,78.35,0.857,498
0.00993,3.12,451,294,77.18,0.865,499
0.00993,3.12,3815,442,109.01,0.909,768
0.00993,3.12,3413,446,113.57,0.926,778
0.00993,3.12,3079,450,119.14,0.924,775
0.00993,3.12,2864,461,121.32,0.905,777
0.00993,3.12,2599,478,127.32,0.892,786
0.00993,3.12,2403,488,130.55,0.886,792
0.00993,3.12,2059,499,138.6,0.875,785
0.00993,3.12,2010,456,106.42,0.883,772
0.00993,3.12,1667,473,109.74,0.869,782
0.00993,3.12,1412,503,102.99,0.798,784
0.00993,3.12,1265,520,117.04,0.804,788
0.00993,3.12,981,595,116.1,0.696,792
0.00993,3.12,824,650,120.24,0.651,801
0.00993,3.12,804,672,120.13,0.627,802
0.00993,3.12,686,699,119.6,0.602,798
0.00993,3.12,647,711,120.51,0.6,804
0.00993,3.12,481,720,95.1,0.548,797
0.00993,3.12,3668,521,131.45,0.924,876
0.00993,3.12,3158,531,138.81,0.937,889
0.00993,3.12,2981,552,143.23,0.916,899
0.00993,3.12,2579,575,144.91,0.888,908
0.00993,3.12,2295,582,148.77,0.882,904
0.00993,3.12,1961,620,145.31,0.817,906
0.00993,3.12,2118,600,143.41,0.842,905
0.00993,3.12,1746,593,129.6,0.846,921
0.00993,3.12,1540,629,130.93,0.789,916
0.00993,3.12,1442,648,132.82,0.762,910
0.00993,3.12,1255,694,134.54,0.713,911
0.00993,3.12,1098,730,135.33,0.683,915
0.00993,3.12,1020,778,136.2,0.638,913
0.00993,3.12,1010,820,136.92,0.599,909
0.00993,3.12,941,862,137.29,0.572,912
0.00993,3.12,1942,158,109.29,0.934,278
0.00993,3.12,1697,159,109.72,0.938,280
0.00993,3.12,1569,153,111.13,0.992,281
0.00993,3.12,1236,163,107.65,0.929,284
0.00993,3.12,1147,164,117.13,0.932,281
0.00993,3.12,1079,162,114.76,0.942,281
0.00993,3.12,902,160,117.56,0.969,282
0.00993,3.12,824,160,120.47,0.973,281
0.00993,3.12,647,165,128.74,0.974,284
0.00993,3.12,517,163,120.83,0.988,287
0.00993,3.12,471,167,124.34,0.967,286
0.00993,3.12,372,164,121.55,0.999,290
0.00993,3.12,294,166,114.48,0.989,293
0.00993,2.08,1040,497,76.25,0.695,1094
0.00993,2.08,922,524,79.61,0.656,1089
0.00993,2.08,834,562,110.84,0.668,1090
0.00993,2.08,726,620,83.07,0.545,1093
0.00993,2.08,667,663,84.54,0.511,1102
0.00993,2.08,628,685,86.36,0.495,1099
0.00993,2.08,598,695,87.47,0.482,1084
0.00993,2.08,530,730,87.91,0.457,1080
0.00993,2.08,481,729,79.63,0.443,1075
0.00993,2.08,510,692,74.98,0.462,1075
0.00993,2.08,3687,393,98.67,0.934,1065
0.00993,2.08,3217,398,106.97,0.931,1059
0.00993,2.08,2873,405,108.27,0.921,1065
0.00993,2.08,2550,409,113,0.924,1067
0.00993,2.08,2520,412,115.14,0.923,1069
0.00993,2.08,2099,422,120.14,0.913,1072
0.00993,2.08,1863,430,122.89,0.897,1068
0.00993,2.08,1697,433,122.71,0.893,1070
0.00993,2.08,3864,291,132.29,0.922,732
0.00993,2.08,3570,295,137.67,0.91,726
0.00993,2.08,3374,295,140.38,0.925,731
0.00993,2.08,3128,287,146.4,0.969,729
0.00993,2.08,2795,290,151.95,0.947,714
0.00993,2.08,2540,289,155.43,0.974,723
0.00993,2.08,2363,294,155.97,0.958,724
0.00993,2.08,2059,296,157.44,0.959,726
0.00993,2.08,1775,296,159.35,0.979,735
0.00993,2.08,1893,299,160.61,0.976,739
0.00993,2.08,1481,315,160.2,0.944,753
0.00993,2.08,1657,310,159.77,0.949,747
0.00993,2.08,1442,323,159.82,0.912,748
0.00993,2.08,1363,295,125.36,0.937,752
0.00993,2.08,1275,304,124.02,0.908,755
0.00993,2.08,1040,321,124.4,0.864,759
0.00993,2.08,1196,314,123.8,0.888,764
0.00993,2.08,932,337,124.19,0.821,760
0.00993,2.08,853,349,125.96,0.8,763
0.00993,2.08,765,368,126.02,0.76,765
0.00993,2.08,716,382,128.43,0.735,764
0.00993,2.08,637,402,127.64,0.732,798
0.00993,2.08,549,448,126.69,0.63,772
0.00993,2.08,471,504,122.69,0.552,771
0.00993,2.08,412,548,118.42,0.505,776
0.00993,2.08,373,560,112.68,0.482,770
0.00993,2.08,333,555,98.21,0.471,781
0.00993,2.08,304,530,85.75,0.473,776
0.00993,2.08,3795,213,124.5,0.901,535
0.00993,2.08,3403,216,127.78,0.907,541
0.00993,2.08,2981,217,128.46,0.898,538
0.00993,2.08,2628,215,132.91,0.921,538
0.00993,2.08,2432,215,138.04,0.932,537
0.00993,2.08,2059,215,140.23,0.946,540
0.00993,2.08,1706,212,141.52,0.976,544
0.00993,2.08,1344,211,144.82,0.994,545
0.00993,2.08,1089,216,147.09,0.978,545
0.00993,2.08,1010,215,146.96,0.99,548
0.00993,2.08,873,217,144.06,0.984,552
0.00993,2.08,785,215,99.23,0.936,569
0.00993,2.08,716,219,99.85,0.923,571
0.00993,2.08,667,224,99.28,0.9,571
0.00993,2.08,588,225,100.34,0.905,573
0.00993,2.08,569,225,99.27,0.912,578
0.00993,2.08,490,231,97,0.883,577
0.00993,2.08,431,239,98.55,0.855,576
0.00993,2.08,363,265,99.39,0.776,581
0.00993,2.08,333,291,97.97,0.699,580
0.00993,2.08,275,307,92.06,0.665,589
0.00993,2.08,235,321,86.56,0.626,587
0.00993,2.08,3668,435,102.85,0.915,1152
0.00993,2.08,3393,438,105.85,0.919,1157
0.00993,2.08,3030,445,110.58,0.914,1159
0.00993,2.08,2716,457,114.83,0.898,1163
0.00993,2.08,2383,465,117.35,0.89,1166
0.00993,2.08,2118,470,123.47,0.886,1158
0.00993,2.08,1883,490,126.05,0.855,1163
0.00993,2.08,1765,504,128.52,0.838,1169
0.00993,2.08,1559,545,131.08,0.774,1171
0.00993,2.08,1706,533,132.15,0.794,1171
